"Regional Coordinating Center","Number of sites ansering the survey"
"Chicago Stroke Trials Consortium",6
"Florida Regional Coordinating Center",6
"Michigan StrokeNet",9
"Mid America Regional Coordinating Center ",3
"New York City Collaborative Regional Coordinating Center (NYCC-RCC)",5
"NorCal Research Coordinating Center",7
"San Diego StrokeNet",9
"Stanford University",4
"Stroke Central Atlantic Network for Research (SCANR)",7
"StrokeNet StrokeBelt",1
"University of Iowa Regional Coordinating Center",6
"University of Minnesota Regional Coordinating Center",2
"University of Pittsburgh",3
"University of Utah StrokeNet",5
"University of Wisconsin Stroke Net",1
"Western NC StrokeNet",4
